"protein"	"Category"
"ID1"	"analyte"
"ID2"	"analyte"
"IDI1"	"analyte"
"IDO1"	"analyte"
"IFI16"	"analyte"
"IFI35"	"analyte"
"IFIT1"	"analyte"
"IFIT5"	"analyte"
"IFITM1"	"analyte"
"IGF2"	"analyte"
"IGF2BP1"	"analyte"
"IGF2BP3"	"analyte"
"IGHG1"	"analyte"
"IGSF11"	"analyte"
"IKBKB"	"analyte"
"IKBKE"	"analyte"
"IKZF1"	"analyte"
"IKZF3"	"analyte"
"IL13RA1"	"analyte"
"IL13RA2"	"analyte"
"IL18"	"analyte"
"IL1A"	"analyte"
"IL1B"	"analyte"
"IL1F5"	"analyte"
"IL1RN"	"analyte"
"IL21R"	"analyte"
"IL24"	"analyte"
"IL37"	"analyte"
"ILF2"	"analyte"
"ILK"	"analyte"
"IMP3"	"analyte"
"IMPA1"	"analyte"
"IMPDH1"	"analyte"
"INA"	"analyte"
"ING4"	"analyte"
"INHBA"	"analyte"
"INPP1"	"analyte"
"INPP5B"	"analyte"
"IP6K1"	"analyte"
"IP6K2"	"analyte"
"IPMK"	"analyte"
"IRAK1"	"analyte"
"IRAK4"	"analyte"
"IRF4"	"analyte"
"IRF5"	"analyte"
"ISG20"	"analyte"
"IST1"	"analyte"
"ITGB6"	"analyte"
"ITGBL1"	"analyte"
"ITK"	"analyte"
"ITPK1"	"analyte"
"ITPKB"	"analyte"
"JADE1"	"analyte"
"JAK3"	"analyte"
"JUNB"	"analyte"
"JUP"	"analyte"
"KAT2A"	"analyte"
"KAT7"	"analyte"
"KATNB1"	"analyte"
"KCMF1"	"analyte"
"KCNIP3"	"analyte"
"KIF9"	"analyte"
"KIT"	"analyte"
"KIT_ext"	"analyte"
"KIT_int"	"analyte"
"KLF10"	"analyte"
"KLF12"	"analyte"
"KLF4"	"analyte"
"KLF6"	"analyte"
"KLF7"	"analyte"
"KLHL12"	"analyte"
"KLK3"	"analyte"
"KRAS"	"analyte"
"KRT14"	"analyte"
"KRT15"	"analyte"
"KRT19"	"analyte"
"KRT4"	"analyte"
"KRT8"	"analyte"
"KXD1"	"analyte"
"L3MBTL2"	"analyte"
"LAD1"	"analyte"
"LAMTOR3"	"analyte"
"LASP1"	"analyte"
"LATS1"	"analyte"
"LCK"	"analyte"
"LCP1"	"analyte"
"LDB1"	"analyte"
"LDB2"	"analyte"
"LDHA"	"analyte"
"LDHB"	"analyte"
"LDHC"	"analyte"
"LEF1"	"analyte"
"LEMD1"	"analyte"
"LGALS1"	"analyte"
"LGALS7"	"analyte"
"LGMN"	"analyte"
"LHFP"	"analyte"
"LIMK2"	"analyte"
"LIMS1"	"analyte"
"LIN28A"	"analyte"
"LIPI"	"analyte"
"LMNA"	"analyte"
"LMO2"	"analyte"
"LNX1"	"analyte"
"LRRFIP2"	"analyte"
"LSM1"	"analyte"
"LTA4H"	"analyte"
"LTV1"	"analyte"
"LUZP4"	"analyte"
"LY6K"	"analyte"
"LY86"	"analyte"
"LY96"	"analyte"
"LYL1"	"analyte"
"LYN"	"analyte"
"LYPD6B"	"analyte"
"LZTR1"	"analyte"
"MAEL"	"analyte"
"MAFG"	"analyte"
"MAGEA10"	"analyte"
"MAGEA4"	"analyte"
"MAGEB1"	"analyte"
"MAGEB2"	"analyte"
